type,entry_price,ret_1M,ret_3M,ret_6M,ret_12M,system
ASH_BUY,32.02492141723633,25.39716724233696,33.66712959317777,16.291757339156064,37.97975519410572,ASH L21
ASH_BUY,23.749420166015625,4.59273458310685,-18.025872470673498,-27.41630430173434,-54.69810712509686,ASH L21
ASH_BUY,24.02916145324707,-16.998784191488923,-33.070840828781826,-40.70470855322915,,ASH L21
RSI_DIV_BUY,1.3200000524520874,-1.5151590409901994,218.18179108879892,330.3030001996755,189.39392283709427,RSI Diverg.
RSI_DIV_BUY,5.079999923706055,-3.149603342816265,18.11023799431024,-3.149603342816265,-76.37795146248212,RSI Diverg.
RSI_DIV_BUY,4.21999979019165,19.66825691490186,-16.350707419597853,-38.38862478913797,141.23224671329803,RSI Diverg.
RSI_DIV_BUY,56.599998474121094,40.28269199014649,-16.607770255470143,-25.795051003043,-47.34982325010868,RSI Diverg.
RSI_DIV_BUY,1.5299999713897705,-15.686275426445917,-32.026145013039,26.797391731861687,-15.032681266298752,RSI Diverg.
RSI_DIV_BUY,22.0,-5.454548922452062,30.9090874411843,-2.727274461226026,0.0,RSI Diverg.
RSI_DIV_BUY,21.399999618530273,-23.177566228448853,-3.738314258509734,2.8037401503044235,35.51402110721946,RSI Diverg.
RSI_DIV_BUY,12.0,7.333334287007642,2.6666641235351562,0.0,-22.00000286102295,RSI Diverg.
RSI_DIV_BUY,12.0,-17.333332697550453,48.00000190734863,-22.00000286102295,-9.333332379659021,RSI Diverg.
RSI_DIV_BUY,9.359999656677246,1.709410330718164,19.65812200938779,16.239321725608534,-49.35897494679139,RSI Diverg.
RSI_DIV_BUY,3.549999952316284,0.5633797519761785,-14.366197107425172,-10.704222003563657,,RSI Diverg.
RSI_DIV_BUY,48.400001525878906,25.619829174078657,-26.363639946184392,-68.59504270648034,-72.39669579445402,RSI Diverg.
RSI_DIV_BUY,20.700000762939453,-2.4154588481715478,-11.111116230135698,-9.178750994447316,-65.21739350775407,RSI Diverg.
RSI_DIV_BUY,5.079999923706055,-16.929136740754146,-27.165352298186175,20.47244050142243,-7.283462423541787,RSI Diverg.
RSI_DIV_BUY,8.0600004196167,2.9776644990494594,-11.910675744478239,-11.116629511627663,63.647628953976685,RSI Diverg.
RSI_DIV_BUY,0.10000000149011612,100.0,300.0,50.000003725290256,50.000003725290256,RSI Diverg.
RSI_DIV_BUY,0.10000000149011612,0.0,50.000003725290256,0.0,0.0,RSI Diverg.
RSI_DIV_BUY,0.10000000149011612,0.0,0.0,0.0,0.0,RSI Diverg.
RSI_DIV_BUY,0.10000000149011612,0.0,0.0,0.0,300.0,RSI Diverg.
RSI_DIV_BUY,0.10000000149011612,0.0,0.0,300.0,500.000014901161,RSI Diverg.
RSI_DIV_BUY,18.40882682800293,-4.318166441434601,0.11193047483575302,-6.67240530954325,34.936181601108295,RSI Diverg.
ACCUM_BUY,40.5,188.3950692635995,175.30864197530863,120.74074450834296,63.70371123890819,Acumulación
ACCUM_BUY,12.699999809265137,-27.322837158606184,-34.25196451280195,-59.921258039117916,-63.779527766002865,Acumulación
ACCUM_BUY,1.7100000381469727,61.988299364495994,83.04093828165739,130.40935493136055,207.60234570414346,Acumulación
ACCUM_BUY,1.690000057220459,-10.059175771481588,6.508869311918364,,,Acumulación
ACCUM_BUY,2.5899999141693115,-27.027025161077532,-36.679535133464235,-48.64864528993955,-48.64864528993955,Acumulación
ACCUM_BUY,8.826666831970215,35.42295329088403,40.40785350784852,67.67371503282776,266.163131679119,Acumulación
ACCUM_BUY,1.7400000095367432,-18.96551960383054,-30.459768303729916,-52.52873731739911,-59.88505689640123,Acumulación
ACCUM_BUY,1.1399999856948853,-3.508768627628134,-32.4561411764263,-42.4561380393397,50.87719738538472,Acumulación
ACCUM_BUY,7.099999904632568,-9.8591523755994,8.450702995658975,,,Acumulación
ACCUM_BUY,17.600000381469727,-2.1590969311303,-5.56817909656483,-31.477271828277075,-48.18181995517947,Acumulación
ACCUM_BUY,9.4399995803833,6.885599587899538,,,,Acumulación
ACCUM_BUY,4.739999771118164,33.33334339318947,127.63714098888386,63.080177053468134,325.1054977113827,Acumulación
ACCUM_STRONG,40.5,-32.2222203384211,-25.92592592592593,-49.382716049382715,-57.90123645170235,Acumulación
ACCUM_BUY,2.9000000953674316,-5.1724169115389795,151.72413623006963,9.999998355733997,23.103441925593348,Acumulación
ACCUM_BUY,0.6669999957084656,6.446774079539397,-14.992507419080436,-9.745127141533683,,Acumulación
ACCUM_STRONG,3.259999990463257,27.300616794716692,-9.81594890119386,,,Acumulación
ACCUM_BUY,6.079999923706055,11.513162744837846,-18.0921039216406,-48.02631372560092,-58.88157843140023,Acumulación
ACCUM_BUY,3.759999990463257,5.319150217845459,-18.88297978584559,-7.180850574769493,-78.19148949661532,Acumulación
ACCUM_BUY,1.8899999856948853,-12.433863284856784,-56.61375666381511,-62.857141415458315,,Acumulación
ACCUM_BUY,75.80000305175781,-24.67018974243045,-62.401056922729126,-63.98417132197272,-76.91292968939509,Acumulación
ACCUM_BUY,26.299999237060547,39.92395553078178,41.82509627034281,15.209125916488286,-81.25475296063304,Acumulación
ACCUM_BUY,23.100000381469727,31.168825699961843,-24.242425493472787,-83.20346298542331,-77.87878766610963,Acumulación
ACCUM_BUY,3.2899999618530273,162.310036915023,159.27051160714413,58.35866560960514,-57.59878428263545,Acumulación
ACCUM_BUY,1.3949999809265137,-34.7670223176884,-5.376339032249577,29.032256410554403,-19.713260209186245,Acumulación
ACCUM_BUY,8.979999542236328,-1.113579430879419,13.69711089767307,10.57907362323618,-57.34966459973501,Acumulación
ACCUM_BUY,3.8299999237060547,-17.49346870030871,-43.60312979482804,-44.908617829576656,-73.36814618159254,Acumulación
ACCUM_BUY,21.399999618530273,-10.093457410820527,-43.45794113476372,-34.299062288570624,-68.97196268762539,Acumulación
ACCUM_BUY,3.930000066757202,-27.2264670098155,5.85241162208654,12.46819341509735,75.5725185282476,Acumulación
ACCUM_BUY,2.799999952316284,55.35714209687952,104.64286130910025,146.4285790312048,385.0000055347171,Acumulación
ACCUM_BUY,11.41884708404541,2.6047124452615478,-31.86916321829596,-8.801172987512707,-19.151981007437325,Acumulación
ACCUM_BUY,6.21044397354126,18.292684144071302,77.28706731177124,106.57794751250455,79.1843135628975,Acumulación
ACCUM_BUY,3.630000114440918,23.140486205745113,-1.3774156792985215,98.07162067618398,145.45453351271868,Acumulación
ACCUM_BUY,2.700000047683716,7.407409042651403,159.99999470180944,233.70370628738922,191.11111091488183,Acumulación
ACCUM_BUY,5.050000190734863,-2.3762447101765005,-3.960401555414428,-21.38614101651103,-51.287129797335716,Acumulación
ACCUM_BUY,4.28000020980835,-5.607482153980293,-22.42991190433934,-41.355143284545534,,Acumulación
ACCUM_BUY,2.509999990463257,-19.92031880078684,-15.13943734924893,,,Acumulación
ACCUM_BUY,55.56687927246094,8.835676926080648,-8.58933126393091,-8.537046998995779,-57.73796136950724,Acumulación
ACCUM_BUY,51.07760238647461,-0.49824913756385536,-24.524815255203503,-43.30725580067705,-37.38986953167762,Acumulación
ACCUM_BUY,31.763641357421875,-5.0831859350845665,-26.067368285533387,-3.3229518048559226,12.951322068616333,Acumulación
ACCUM_BUY,12.239999771118164,10.130717273738043,18.464054502799865,17.15686618250554,78.34967591434696,Acumulación
ACCUM_BUY,16.209999084472656,21.159780992593234,2.282546947135966,-12.152988430712053,-44.35533024549143,Acumulación
ACCUM_BUY,12.40999984741211,-10.394842689075734,-19.01691930455086,-15.149074436394605,118.77518092147228,Acumulación
ACCUM_BUY,9.020000457763672,16.740567611699355,27.383583015547643,130.15520150016556,69.51218609631728,Acumulación
ACCUM_BUY,13.890000343322754,-26.349897124702903,-23.326138550817422,33.1893415603361,-21.670267490877436,Acumulación
ACCUM_BUY,8.5600004196167,-14.83645321854482,-41.47196281205119,-34.11215432232252,-4.672903651825999,Acumulación
ACCUM_BUY,1.2699999809265137,3.149603342816265,-8.661418579303092,73.22835281294505,61.417321504267306,Acumulación
ACCUM_BUY,3.359999895095825,10.119052476285685,101.4881009611888,54.46429223987948,-34.22618728730809,Acumulación
ACCUM_BUY,2.2100000381469727,5.882347229791929,-23.07692224706378,,,Acumulación
ACCUM_BUY,10.09000015258789,-40.93161597605777,-43.508426926998645,-52.824577235898374,-62.93359808743406,Acumulación
ACCUM_BUY,2.119999885559082,-14.622639599708675,76.41510431263245,246.2264409817268,65.09434853469283,Acumulación
ACCUM_BUY,1.649999976158142,-21.21212296358922,-52.12121012891726,-32.12121085139782,-40.6060585918724,Acumulación
ACCUM_BUY,3.369999885559082,-16.61720954885544,-32.64094783344714,-29.970327144260366,,Acumulación
ACCUM_BUY,1.8700000047683716,4.812835997278464,56.14973630203988,,,Acumulación
ACCUM_BUY,5.130000114440918,-5.263157405522579,-12.475639942407735,-17.543861116765612,-4.678367302170683,Acumulación
ACCUM_BUY,2.119999885559082,-23.113203621623402,49.056615868511685,335.84906933527543,355.6603947582098,Acumulación
