ticker,bar,price,ret_1M,ret_3M,ret_6M,ret_12M,system
ALDX,604,5.480000019073486,-3.1021911624498077,-0.36496315432303916,-68.06569354180631,,💎 ASH STRONG solo
ALEC,42,18.639999389648438,-5.579394003393934,47.42489507535665,75.4291943866646,-28.7017146082445,💎 ASH STRONG solo
ALEC,121,19.540000915527344,80.19445974791763,36.335712085249305,-0.46059441336244733,-53.99181499539074,💎 ASH STRONG solo
ALEC,182,13.0600004196167,-19.90811866716643,-36.60031036037131,-27.335379278673187,-32.848390689247275,💎 ASH STRONG solo
ALEC,292,6.03000020980835,-20.398009556828512,-67.33001724600534,-75.95356555170333,-54.394694787458356,💎 ASH STRONG solo
ALEC,300,5.75,-62.434781115988024,-69.56521739130434,-79.65217465939729,-77.73913093235181,💎 ASH STRONG solo
ALEC,367,1.9900000095367432,3.015072487035231,11.055277766628958,,,💎 ASH STRONG solo
ALT,69,26.190000534057617,-83.54333770564534,-92.89805278206711,-89.156167024601,-91.94349044647032,💎 ASH STRONG solo
ALT,97,3.0899999141693115,-4.854364437391167,-21.682843251970873,-38.5113259244565,-6.148861620695478,💎 ASH STRONG solo
ALT,144,3.700000047683716,-22.972976543156175,150.81080036149413,376.2162327609676,330.8107939177488,💎 ASH STRONG solo
ALT,381,7.880000114440918,-20.05076016192615,14.593903576508582,-24.873096569568176,-53.807105938571034,💎 ASH STRONG solo
AMWL,219,9.569999694824219,-18.49529321350586,4.07523882716192,-29.571577993222032,-55.79937143194253,💎 ASH STRONG solo
ANAB,223,17.440000534057617,-12.844040459850369,-10.244654639215279,41.666663932508726,-13.340984600894423,💎 ASH STRONG solo
ANAB,230,17.626667022705078,-2.60967705284344,3.403935529597635,40.20423201986701,-12.556736226457964,💎 ASH STRONG solo
ANAB,239,16.899999618530273,7.850105417694131,22.761351066484426,23.984221147711505,-6.903355094037367,💎 ASH STRONG solo
ARDX,75,19.920000076293945,-4.518070356843673,-50.10040390405155,-55.572287411776756,-22.188755318098742,💎 ASH STRONG solo
ARDX,315,7.019999980926514,-19.515667938481485,-25.14244830884811,-7.834760573065891,12.393160796622361,💎 ASH STRONG solo
ARDX,317,6.809999942779541,-17.621142721703897,-16.005876090257367,0.14684624032101912,10.132159515684691,💎 ASH STRONG solo
ARDX,364,7.380000114440918,9.078591678920356,-81.57181581008494,-80.2168019579011,-91.77506796867762,💎 ASH STRONG solo
ARDX,581,5.210000038146973,25.143952652358625,7.293668170030787,40.499042573229275,,💎 ASH STRONG solo
ARDX,619,6.880000114440918,-12.209304340340854,,,,💎 ASH STRONG solo
ASAN,178,20.06999969482422,-22.82012951344078,-34.97757653628524,-29.94518867261078,-4.085698591394027,💎 ASH STRONG solo
ATAI,185,1.7699999809265137,-12.429380281409363,-25.98870300022171,56.49717575005544,118.64406368712585,💎 ASH STRONG solo
BARK,205,35.400001525878906,11.864397647474135,-1.6949216467680994,-31.638418870552243,-58.87005708467916,💎 ASH STRONG solo
BBAI,103,2.440000057220459,18.85246013768478,-3.6885307572662507,-38.11475594048213,-15.983610481896704,💎 ASH STRONG solo
BBAI,220,5.840000152587891,26.541090297931767,15.239723343007249,-1.883563880827288,-40.41096013445501,💎 ASH STRONG solo
BBAI,268,5.039999961853027,-30.95238005132811,,,,💎 ASH STRONG solo
BKSY,216,12.079999923706055,-3.9735061694360363,-19.86754663649014,-31.125829905868873,36.5894048361709,💎 ASH STRONG solo
BKSY,285,12.899999618530273,66.51162928238593,25.736432503883087,41.78295702625119,169.4573592979183,💎 ASH STRONG solo
BKSY,315,20.81999969482422,6.003842547177096,47.98270853770303,,,💎 ASH STRONG solo
BKSY,324,23.729999542236328,29.835651328625488,46.48124311871522,,,💎 ASH STRONG solo
BLNK,31,3500.0,-32.14285714285714,-57.857142857142854,-86.78571428571429,-97.65714285714286,💎 ASH STRONG solo
BLNK,102,109.5,-21.461187214611876,-6.849315068493156,-42.922374429223744,-28.31050228310502,💎 ASH STRONG solo
